onset	duration	trial_type	trial	group	subject	choice	triad_outcome
0.0	2.0	feedback	1	G09	S03	1	coop
2.0	2.0	feedback	2	G09	S03	1	coop
4.0	2.0	feedback	3	G09	S03	1	coop
6.0	2.0	feedback	4	G09	S03	1	coop
8.0	2.0	feedback	5	G09	S03	1	coop
10.0	2.0	feedback	6	G09	S03	1	coop
12.0	2.0	feedback	7	G09	S03	1	coop
14.0	2.0	feedback	8	G09	S03	1	coop
16.0	2.0	feedback	9	G09	S03	1	coop
18.0	2.0	feedback	10	G09	S03	1	coop
20.0	2.0	feedback	11	G09	S03	1	coop
22.0	2.0	feedback	12	G09	S03	1	coop
24.0	2.0	feedback	13	G09	S03	1	coop
26.0	2.0	feedback	14	G09	S03	1	coop
28.0	2.0	feedback	15	G09	S03	1	coop
30.0	2.0	feedback	16	G09	S03	2	def
32.0	2.0	feedback	17	G09	S03	1	coop
34.0	2.0	feedback	18	G09	S03	1	coop
36.0	2.0	feedback	19	G09	S03	1	coop
38.0	2.0	feedback	20	G09	S03	1	coop
40.0	2.0	feedback	21	G09	S03	1	coop
42.0	2.0	feedback	22	G09	S03	2	def
44.0	2.0	feedback	23	G09	S03	1	coop
46.0	2.0	feedback	24	G09	S03	1	coop
48.0	2.0	feedback	25	G09	S03	1	coop
50.0	2.0	feedback	26	G09	S03	1	coop
52.0	2.0	feedback	27	G09	S03	2	def
54.0	2.0	feedback	28	G09	S03	1	coop
56.0	2.0	feedback	29	G09	S03	2	def
58.0	2.0	feedback	30	G09	S03	1	coop
60.0	2.0	feedback	31	G09	S03	1	coop
62.0	2.0	feedback	32	G09	S03	1	coop
64.0	2.0	feedback	33	G09	S03	1	coop
66.0	2.0	feedback	34	G09	S03	1	coop
68.0	2.0	feedback	35	G09	S03	1	coop
70.0	2.0	feedback	36	G09	S03	1	coop
72.0	2.0	feedback	37	G09	S03	1	coop
74.0	2.0	feedback	38	G09	S03	1	coop
76.0	2.0	feedback	39	G09	S03	2	def
78.0	2.0	feedback	40	G09	S03	2	def
