onset	duration	trial_type	trial	group	subject	choice	triad_outcome
0.0	2.0	feedback	1	G05	S03	1	coop
2.0	2.0	feedback	2	G05	S03	1	coop
4.0	2.0	feedback	3	G05	S03	1	coop
6.0	2.0	feedback	4	G05	S03	1	coop
8.0	2.0	feedback	5	G05	S03	1	coop
10.0	2.0	feedback	6	G05	S03	1	coop
12.0	2.0	feedback	7	G05	S03	1	coop
14.0	2.0	feedback	8	G05	S03	1	coop
16.0	2.0	feedback	9	G05	S03	1	coop
18.0	2.0	feedback	10	G05	S03	1	coop
20.0	2.0	feedback	11	G05	S03	1	coop
22.0	2.0	feedback	12	G05	S03	2	def
24.0	2.0	feedback	13	G05	S03	2	def
26.0	2.0	feedback	14	G05	S03	2	def
28.0	2.0	feedback	15	G05	S03	2	def
30.0	2.0	feedback	16	G05	S03	1	coop
32.0	2.0	feedback	17	G05	S03	2	def
34.0	2.0	feedback	18	G05	S03	2	def
36.0	2.0	feedback	19	G05	S03	2	def
38.0	2.0	feedback	20	G05	S03	2	def
40.0	2.0	feedback	21	G05	S03	2	def
42.0	2.0	feedback	22	G05	S03	2	def
44.0	2.0	feedback	23	G05	S03	2	def
46.0	2.0	feedback	24	G05	S03	1	coop
48.0	2.0	feedback	25	G05	S03	2	def
50.0	2.0	feedback	26	G05	S03	2	def
52.0	2.0	feedback	27	G05	S03	2	def
54.0	2.0	feedback	28	G05	S03	2	def
56.0	2.0	feedback	29	G05	S03	1	coop
58.0	2.0	feedback	30	G05	S03	2	def
60.0	2.0	feedback	31	G05	S03	2	def
62.0	2.0	feedback	32	G05	S03	2	def
64.0	2.0	feedback	33	G05	S03	2	def
66.0	2.0	feedback	34	G05	S03	1	coop
68.0	2.0	feedback	35	G05	S03	2	def
70.0	2.0	feedback	36	G05	S03	1	coop
72.0	2.0	feedback	37	G05	S03	2	def
74.0	2.0	feedback	38	G05	S03	2	def
76.0	2.0	feedback	39	G05	S03	1	coop
78.0	2.0	feedback	40	G05	S03	2	def
