onset	duration	trial_type	trial	group	subject	choice	triad_outcome
0.0	4.0	decision	1	G11	S01	1	coop
4.0	4.0	decision	2	G11	S01	1	coop
8.0	4.0	decision	3	G11	S01	1	coop
12.0	4.0	decision	4	G11	S01	1	coop
16.0	4.0	decision	5	G11	S01	1	coop
20.0	4.0	decision	6	G11	S01	1	coop
24.0	4.0	decision	7	G11	S01	1	coop
28.0	4.0	decision	8	G11	S01	1	coop
32.0	4.0	decision	9	G11	S01	1	coop
36.0	4.0	decision	10	G11	S01	1	coop
40.0	4.0	decision	11	G11	S01	1	coop
44.0	4.0	decision	12	G11	S01	1	coop
48.0	4.0	decision	13	G11	S01	1	coop
52.0	4.0	decision	14	G11	S01	2	def
56.0	4.0	decision	15	G11	S01	2	def
60.0	4.0	decision	16	G11	S01	2	def
64.0	4.0	decision	17	G11	S01	2	def
68.0	4.0	decision	18	G11	S01	2	def
72.0	4.0	decision	19	G11	S01	2	def
76.0	4.0	decision	20	G11	S01	1	coop
80.0	4.0	decision	21	G11	S01	1	coop
84.0	4.0	decision	22	G11	S01	1	coop
88.0	4.0	decision	23	G11	S01	1	coop
92.0	4.0	decision	24	G11	S01	1	coop
96.0	4.0	decision	25	G11	S01	1	coop
100.0	4.0	decision	26	G11	S01	1	coop
104.0	4.0	decision	27	G11	S01	1	coop
108.0	4.0	decision	28	G11	S01	1	coop
112.0	4.0	decision	29	G11	S01	1	coop
116.0	4.0	decision	30	G11	S01	1	coop
120.0	4.0	decision	31	G11	S01	1	coop
124.0	4.0	decision	32	G11	S01	1	coop
128.0	4.0	decision	33	G11	S01	1	coop
132.0	4.0	decision	34	G11	S01	1	coop
136.0	4.0	decision	35	G11	S01	1	coop
140.0	4.0	decision	36	G11	S01	1	coop
144.0	4.0	decision	37	G11	S01	1	coop
148.0	4.0	decision	38	G11	S01	1	coop
152.0	4.0	decision	39	G11	S01	1	coop
156.0	4.0	decision	40	G11	S01	1	coop
