onset	duration	trial_type	trial	group	subject	choice	triad_outcome
0.0	4.0	decision	1	G06	S02	1	coop
4.0	4.0	decision	2	G06	S02	1	coop
8.0	4.0	decision	3	G06	S02	1	coop
12.0	4.0	decision	4	G06	S02	1	coop
16.0	4.0	decision	5	G06	S02	1	coop
20.0	4.0	decision	6	G06	S02	1	coop
24.0	4.0	decision	7	G06	S02	1	coop
28.0	4.0	decision	8	G06	S02	1	coop
32.0	4.0	decision	9	G06	S02	1	coop
36.0	4.0	decision	10	G06	S02	1	coop
40.0	4.0	decision	11	G06	S02	1	coop
44.0	4.0	decision	12	G06	S02	1	coop
48.0	4.0	decision	13	G06	S02	1	coop
52.0	4.0	decision	14	G06	S02	1	coop
56.0	4.0	decision	15	G06	S02	1	coop
60.0	4.0	decision	16	G06	S02	1	coop
64.0	4.0	decision	17	G06	S02	1	coop
68.0	4.0	decision	18	G06	S02	1	coop
72.0	4.0	decision	19	G06	S02	1	coop
76.0	4.0	decision	20	G06	S02	1	coop
80.0	4.0	decision	21	G06	S02	1	coop
84.0	4.0	decision	22	G06	S02	1	coop
88.0	4.0	decision	23	G06	S02	1	coop
92.0	4.0	decision	24	G06	S02	1	coop
96.0	4.0	decision	25	G06	S02	1	coop
100.0	4.0	decision	26	G06	S02	1	coop
104.0	4.0	decision	27	G06	S02	1	coop
108.0	4.0	decision	28	G06	S02	1	coop
112.0	4.0	decision	29	G06	S02	1	coop
116.0	4.0	decision	30	G06	S02	1	coop
120.0	4.0	decision	31	G06	S02	1	coop
124.0	4.0	decision	32	G06	S02	1	coop
128.0	4.0	decision	33	G06	S02	1	coop
132.0	4.0	decision	34	G06	S02	1	coop
136.0	4.0	decision	35	G06	S02	1	coop
140.0	4.0	decision	36	G06	S02	1	coop
144.0	4.0	decision	37	G06	S02	1	coop
148.0	4.0	decision	38	G06	S02	1	coop
152.0	4.0	decision	39	G06	S02	2	def
156.0	4.0	decision	40	G06	S02	2	def
