onset	duration	trial_type	trial	group	subject	choice	triad_outcome
0.0	60.0	rest	1	G04	S02	n/a	n/a
60.0	60.0	rest	2	G04	S02	n/a	n/a
120.0	60.0	rest	3	G04	S02	n/a	n/a
