participant_id	group	triad_subject
sub-G01S01	G01	S01
sub-G01S02	G01	S02
sub-G01S03	G01	S03
sub-G02S01	G02	S01
sub-G02S02	G02	S02
sub-G02S03	G02	S03
sub-G03S01	G03	S01
sub-G03S02	G03	S02
sub-G03S03	G03	S03
sub-G04S01	G04	S01
sub-G04S02	G04	S02
sub-G04S03	G04	S03
sub-G05S01	G05	S01
sub-G05S02	G05	S02
sub-G05S03	G05	S03
sub-G06S01	G06	S01
sub-G06S02	G06	S02
sub-G06S03	G06	S03
sub-G07S01	G07	S01
sub-G07S02	G07	S02
sub-G07S03	G07	S03
sub-G08S01	G08	S01
sub-G08S02	G08	S02
sub-G08S03	G08	S03
sub-G09S01	G09	S01
sub-G09S02	G09	S02
sub-G09S03	G09	S03
sub-G10S01	G10	S01
sub-G10S02	G10	S02
sub-G10S03	G10	S03
sub-G11S01	G11	S01
sub-G11S02	G11	S02
sub-G11S03	G11	S03
